"ConditionName","ConditionSNOMED","PathogenName","PathogenTaxonID","Fatalities","CountryName","CountryISO","Admin1Name","Admin1ISO","Admin2Name","CityName","PeriodStartDate","PeriodEndDate","PartOfCumulativeCountSeries","AgeRange","Subpopulation","PlaceOfAcquisition","DiagnosisCertainty","SourceName","CountValue"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ALAGOAS","BR-AL","NA","NA","1996-07-01","1996-07-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","39"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ALAGOAS","BR-AL","NA","NA","1996-08-01","1996-08-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","23"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ALAGOAS","BR-AL","NA","NA","1996-09-01","1996-09-30","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","52"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ALAGOAS","BR-AL","NA","NA","1996-10-01","1996-10-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","4"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ALAGOAS","BR-AL","NA","NA","1996-11-01","1996-11-30","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","0"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ALAGOAS","BR-AL","NA","NA","1996-12-01","1996-12-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","0"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ALAGOAS","BR-AL","NA","NA","1997-01-01","1997-01-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","556"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ALAGOAS","BR-AL","NA","NA","1997-02-01","1997-02-28","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","166"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ALAGOAS","BR-AL","NA","NA","1997-03-01","1997-03-31","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","1576"
"Dengue without warning signs","722862003","Dengue virus","12637","0","BRAZIL","BR","ALAGOAS","BR-AL","NA","NA","1997-04-01","1997-04-30","0","0-130","None specified","NA","NA","World Health Organization DengueNet Database","1804"
